comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
direct_BMPDM_all_features,Mean_baseline,31,7,1,26,-5.72835028522789e-06,64.8619257603903,56.700951256664126,26.622133672858105,25.661053797660333,28.09578348799719,1.0198009818341174,0.1552399086062818,44.72268316831676
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,31,7,1,26,0.51786225510119,45.037488166405616,39.16244210314839,17.842825648605178,17.817994041974472,19.508571500652177,1.4686932657012055,-3.3121278650729633,41.03156342275386
direct_BMPDM_all_features,LinearRegression,31,7,1,26,0.49378625770247475,46.148284392523976,40.719302640799626,18.672978579096803,18.25745373088288,19.989727277364626,1.4333415953554574,-2.588988343428274,39.71716129594351
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,31,7,1,26,0.564357933687959,42.81081538143441,37.86378132840473,17.012281361138598,16.937064753257214,18.544059335283034,1.5450828250933768,-4.360790588972412,38.5397416535952
direct_BMPDM_all_features,Ridge_alpha_1,31,7,1,26,0.524802688189601,44.7121529769924,39.893435227410535,18.147395040966032,17.6892830347089,19.367648348346357,1.4793797920698348,-3.2209316674515938,39.198223206240144
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,31,7,1,26,0.6618116724282864,37.71967150880372,32.59823999999996,14.049599203069699,14.922876687213293,16.338764406481733,1.7536275616466919,-3.992369230769218,34.05241000000001
direct_BMPDM_all_features,RF_fixed_selected_params,31,7,1,26,0.6656199942891416,37.50669055106648,33.58139461538459,15.14967223603049,14.83861591711895,16.246508945277,1.7635854990734938,-1.109048461538441,33.079509999999985
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,31,7,1,26,0.7399895583867822,33.07379188962795,28.791475981736774,12.362952652057778,13.084846665016094,14.326341457865352,1.999959841158744,-5.410872429173979,28.3521204255145
direct_BMPDM_all_features,GradientBoosting_fixed,31,7,1,26,0.7093451036812028,34.968533276719995,30.077157031249143,13.230960076209024,13.834455315959271,15.147073237771808,1.891593652231733,-3.4271577253983407,27.10316578961765
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,31,7,1,26,0.726709723183008,33.907883720781655,29.162917692307744,12.695792939186815,13.414834945513544,14.687639140943281,1.950763312708825,-3.7631923076923903,27.593189999999964
direct_BMPDM_all_features,ExtraTrees_fixed,31,7,1,26,0.7141940386977526,34.67562011249704,29.509323461538408,13.232743761509713,13.718571299611451,15.020194105733797,1.907572391193046,-0.6743549999999203,27.89913499999983
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,32,7,2,26,0.5493638744148133,41.51869265506083,28.06546969712512,12.18317444183213,16.292323371743894,17.918540859642672,1.5191605272433248,-6.167481715992517,16.788231635352957
direct_BMPDM_all_features,RF_nested_gridsearch,32,7,2,26,0.5853449500214318,39.82668390940347,25.955481721932323,10.719154029193122,15.628363312570205,17.18830765851998,1.583700997245806,-5.627063178682481,14.386897613068072
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,32,7,2,26,0.3414824113367445,50.1896719898147,39.845582635186595,16.872016708692442,19.694896772722572,21.660741963943718,1.2567039497113206,-9.255891089108907,33.87743564356438
direct_BMPDM_all_features,Mean_baseline,32,7,2,26,-0.0015691125365346892,61.897217901957475,52.49846610814927,23.87217758418564,24.289047303300954,26.7134574127598,1.0190047495223706,-2.4499527798933523,50.41900000000001
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,32,7,2,26,0.47397035340194993,44.857573607286675,32.59198442181848,14.71803144615442,17.602531489936865,19.359527339274727,1.4060849473603736,-4.265886185331652,24.737128615859035
direct_BMPDM_all_features,LinearRegression,32,7,2,26,0.3613126739993192,49.42820245717741,35.736741388095005,16.844233882498337,19.39608900518211,21.33210871319826,1.2760641878279944,-5.663433841237605,25.595643819813034
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,32,7,2,26,0.48703512728596443,44.2970169387387,32.095996786366406,14.483231189361778,17.38256380964292,19.117603595360844,1.423878251475588,-4.192219232772485,23.746037089263382
direct_BMPDM_all_features,Ridge_alpha_1,32,7,2,26,0.46040409525241166,45.43232791261667,32.89229262585828,15.488829768805163,17.828070455711526,19.607578466266453,1.3882968785053182,-4.28790903929965,21.223039424105195
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,32,7,2,26,0.5332829212321692,42.252996580967995,28.373293846153842,12.176196651931992,16.580471101091106,18.235450040986066,1.4927594283981735,-6.032661538461521,18.216900000000024
direct_BMPDM_all_features,RF_fixed_selected_params,32,7,2,26,0.6115110900831467,38.549609278647665,25.1178123076923,10.458705517427314,15.127227281458014,16.637150758129916,1.6361659743008532,-5.793347692307702,12.53788000000003
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,32,7,2,26,0.464525795512827,45.258477998673065,32.16088585905906,13.812413158744194,17.759850123254264,19.532548724546874,1.3936296979797913,-3.943982730158482,18.040294371264807
direct_BMPDM_all_features,GradientBoosting_fixed,32,7,2,26,0.5080261280610343,43.38121257471882,30.429500656802457,13.068037256986187,17.023193610590003,18.72236287686175,1.4539372064734082,-2.8606844407857293,15.11930432934173
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,32,7,2,26,0.544418030381733,41.74590992574876,27.76106884615391,12.45097276704671,16.381485554196225,18.01660276112554,1.5108919445402285,-7.663675000000007,14.76420000000003
direct_BMPDM_all_features,ExtraTrees_fixed,32,7,2,26,0.5436426508054841,41.781419633339986,28.059768076923135,12.420237659390427,16.39541989561971,18.03192795818012,1.5096078490828844,-4.887940384615433,16.127765000000068
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,33,7,3,25,0.542041247505478,42.35980965323657,31.32693493999999,13.923958883083989,16.83884140826319,16.12368001173752,1.5081731391418969,9.566740274603191,22.626780095238075
direct_BMPDM_all_features,RF_nested_gridsearch,33,7,3,25,0.48798950643580996,44.789916107907494,34.28121697424559,15.270489845730397,17.804855597901405,17.048666672214125,1.4263462102554862,10.9830211337006,30.42593610432624
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,33,7,3,25,0.2880758777282614,52.81504720827822,41.15309098039215,18.46006260712631,20.99500000567587,20.10332265329297,1.2096160180684559,4.2216996078431315,29.389823529411785
