scenario_id,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
D2_BMP_DM_no_VS,Mean_baseline,6,2,1,26.0,-0.000507704510871898,60.38595016089403,50.971807692307685,22.87213052391481,23.98116594742444,25.659679502704257,1.0195451217317872,1.3602890327494788,39.170999999999964
D2_BMP_DM_no_VS,Mean_baseline,7,2,2,26.0,-0.03304158526818135,67.6221187680021,54.670568164508786,23.42968349058297,25.760278733741064,24.78780324628748,1.0033622733188066,-12.09373115003813,50.252346534653526
D2_BMP_DM_no_VS,Mean_baseline,8,2,3,25.0,-0.009728008684368072,52.76929833941369,40.02181176470587,17.939320487516106,20.529008235915672,23.95251118407579,1.0156923509648046,-5.179538823529357,30.084058823529347
D2_BMP_DM_no_VS,Mean_baseline,9,2,4,25.0,-0.0019174865910613903,63.38469234467063,51.725963529411764,23.51432788791098,25.28707052051868,24.140847626339923,1.0196436178509105,2.772902352941202,46.5856176470588
D2_BMP_DM_no_VS,Mean_baseline,10,2,5,25.0,-0.023624434625703294,88.6000437200619,69.00551450980393,61.48535679400305,36.59991868710865,23.46871820601125,1.008774420636992,13.459977254902004,62.84686274509801
D2_BMP_DM_no_VS,Mean_baseline,11,3,1,26.0,-0.18510230724443932,56.50930425943851,47.34177608530085,18.998410189661787,20.879226114281103,25.611773248233995,0.9367824541170642,-22.33304569687739,43.592084158415844
D2_BMP_DM_no_VS,Mean_baseline,12,3,2,26.0,-0.07847477351995336,75.01121235563623,61.59166184310739,26.026730807210903,27.887354235234884,24.14148411104589,0.9820004213633201,-20.234208682406692,54.86240099009899
D2_BMP_DM_no_VS,Mean_baseline,13,3,3,25.0,-0.007561163178005703,71.54586523079945,57.81402392156863,25.220724334478216,27.745434761303134,25.804797420020144,1.016783930553181,-6.197879607843124,48.45051960784312
D2_BMP_DM_no_VS,Mean_baseline,14,3,4,25.0,-0.11585104748413744,60.24423328676905,47.92072313725492,24.289861485441847,25.387684200230805,26.23260787391861,0.9661871801516568,19.411645490196115,41.99272549019611
D2_BMP_DM_no_VS,Mean_baseline,15,3,5,25.0,-0.18621409276870104,77.2878244584399,56.37338235294119,57.01005755427323,33.85460902517703,23.263909210840914,0.9370933237823859,30.622159607843177,33.73551960784317
D2_BMP_DM_no_VS,Mean_baseline,16,4,1,26.0,-0.020370005064506147,56.01445459857999,45.75988461538462,22.30908593482015,22.715307610254747,29.624111293700146,1.0095732338204997,7.9143789032749225,44.234198019801994
D2_BMP_DM_no_VS,Mean_baseline,17,4,2,26.0,-0.059665695418295694,50.45953822108385,40.29585605483628,17.594813342620164,19.229291031733105,25.519543527294353,0.9906773461498358,-11.973501904036603,29.761732673267375
D2_BMP_DM_no_VS,Mean_baseline,18,4,3,25.0,-0.04359087031508424,78.19094861952132,59.14614823529411,55.00712411389137,32.572390570143355,20.543371662503567,0.9990776598867879,15.98045411764707,44.08470588235292
D2_BMP_DM_no_VS,Mean_baseline,19,4,4,25.0,-0.3482989860415082,84.01458869855743,67.39592666666665,25.27966128833061,29.254742518896474,26.967252898815712,0.8789643878096097,-42.700966666666645,61.572166666666675
D2_BMP_DM_no_VS,Mean_baseline,20,4,5,25.0,-0.2282001206464339,71.68754909144108,60.45485333333333,31.78634577924998,31.432295831047224,30.674769189583785,0.920936774981676,30.90061333333331,48.952333333333314
D2_BMP_DM_no_VS,Mean_baseline,21,5,1,26.0,-5.2520396017330384e-05,81.39771902133563,66.19862947448591,54.478049294912736,32.127721054747944,21.38589726634744,1.0197771235209776,-0.5898815689261345,60.4537277227723
